Año;Fase;Nivel;Concepto;Concepto_Padre;Unidad;Valor
2024;Vigente;2;Funcionamiento;Total PGN;Miles mm COP;289.892,487
2024;Vigente;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,169
2024;Vigente;3;Gastos de Personal;Funcionamiento;Miles mm COP;54.945,194
2024;Vigente;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;13.608,210
2024;Vigente;3;Transferencias;Funcionamiento;Miles mm COP;217.697,336
2024;Vigente;4;SGP;Transferencias;Miles mm COP;70.540,880
2024;Vigente;4;Pensiones;Transferencias;Miles mm COP;66.523,475
2024;Vigente;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;6.401,575
2024;Vigente;4;Resto;Transferencias;Miles mm COP;74.231,406
2024;Vigente;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;1.337,218
2024;Vigente;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;730,072
2024;Vigente;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;350,166
2024;Vigente;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;1.224,292
2024;Vigente;2;Servicio de la Deuda;Total PGN;Miles mm COP;94.521,847
2024;Vigente;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,055
2024;Vigente;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;37.259,837
2024;Vigente;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;19.509,579
2024;Vigente;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;17.520,950
2024;Vigente;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;229,308
2024;Vigente;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;57.262,010
2024;Vigente;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;20.422,056
2024;Vigente;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;35.117,708
2024;Vigente;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;295,225
2024;Vigente;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;1.427,021
2024;Vigente;2;Inversión;Total PGN;Miles mm COP;99.851,309
2024;Vigente;2;Inversión como % del PIB;Inversión;% PIB;0,058
2024;Comprometido;1;Total PGN;;Miles mm COP;284.530,905
2024;Comprometido;1;PGN como % del PIB;Total PGN;% PIB;0,166
2024;Comprometido;2;Funcionamiento;Total PGN;Miles mm COP;227.680,513
2024;Comprometido;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,133
2024;Comprometido;3;Gastos de Personal;Funcionamiento;Miles mm COP;10.961,250
2024;Comprometido;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;7.479,000
2024;Comprometido;3;Transferencias;Funcionamiento;Miles mm COP;207.890,350
2024;Comprometido;4;SGP;Transferencias;Miles mm COP;19.000,885
2024;Comprometido;4;Pensiones;Transferencias;Miles mm COP;7.671,357
2024;Comprometido;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;3.184,055
2024;Comprometido;4;Resto;Transferencias;Miles mm COP;178.034,054
2024;Comprometido;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;623,710
2024;Comprometido;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;517,237
2024;Comprometido;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;70,308
2024;Comprometido;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;138,658
2024;Comprometido;2;Servicio de la Deuda;Total PGN;Miles mm COP;18.268,243
2024;Comprometido;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,011
2024;Comprometido;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;7.573,666
2024;Comprometido;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.502,777
2024;Comprometido;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;4.045,163
2024;Comprometido;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;25,726
2024;Comprometido;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;10.694,577
2024;Comprometido;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;688,011
2024;Comprometido;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;9.820,595
2024;Comprometido;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;12,811
2024;Comprometido;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;173,161
2024;Comprometido;2;Inversión;Total PGN;Miles mm COP;38.582,149
2024;Comprometido;2;Inversión como % del PIB;Inversión;% PIB;0,023
2024;Obligado;1;Total PGN;;Miles mm COP;234.443,244
2024;Obligado;1;PGN como % del PIB;Total PGN;% PIB;0,137
2024;Obligado;2;Funcionamiento;Total PGN;Miles mm COP;207.177,991
2024;Obligado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,121
2024;Obligado;3;Gastos de Personal;Funcionamiento;Miles mm COP;9.900,481
2024;Obligado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.764,780
2024;Obligado;3;Transferencias;Funcionamiento;Miles mm COP;194.645,950
2024;Obligado;4;SGP;Transferencias;Miles mm COP;19.000,885
2024;Obligado;4;Pensiones;Transferencias;Miles mm COP;7.465,652
2024;Obligado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;2.034,073
2024;Obligado;4;Resto;Transferencias;Miles mm COP;166.145,340
2024;Obligado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;163,736
2024;Obligado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;507,171
2024;Obligado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;61,844
2024;Obligado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;134,029
2024;Obligado;2;Servicio de la Deuda;Total PGN;Miles mm COP;18.183,619
2024;Obligado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,011
2024;Obligado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;7.504,923
2024;Obligado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.500,066
2024;Obligado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.987,943
2024;Obligado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;16,913
2024;Obligado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;10.678,697
2024;Obligado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;688,011
2024;Obligado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;9.817,307
2024;Obligado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,219
2024;Obligado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;173,161
2024;Obligado;2;Inversión;Total PGN;Miles mm COP;9.081,633
